NAME_LAT,KOATUU_RAY,longitude,latitude,KOATUU
Artemivka,1420600000,38.638,47.872,1420681001
Artemivka,1422400000,37.377,48.492,1422484401
Valerianivka,1421500000,37.387,47.639,1421581201
Zaitseve,1420900000,38.068,48.526,1420983001
Serhiivka,1424200000,37.376,48.668,1424288201
Krynytsi,1420300000,37.123,48.66,1420383801
Novokrasnivka,1421700000,37.156,47.315,1421785001
Piddubne,1421200000,36.693,48.009,1421284401
Andriivka,1424200000,37.567,48.818,1424255300
Dobropillia,1422000000,37.05,48.42,1422082201
Zoria,1421700000,37.61,47.295,1421781601
Zoria,1422400000,37.671,48.368,1422482301
Hrabove,1425200000,38.647,48.146,1425281201
Pishchane,1422700000,37.111,48.234,1422784501
Svobodne,1421500000,37.564,47.531,1421587601
Svobodne,1424800000,38.058,47.365,1424886401
Staromaiorske,1421200000,36.795,47.752,1421284801
Novohryhorivka,1420900000,38.418,48.365,1420986001
Novoielyzavetivka,1422700000,37.044,48.137,1422783801
Petropavlivka,1425200000,38.532,48.14,1425286701
Liubivka,1421500000,37.751,47.825,1421583801
Dolyna,1424200000,37.43,48.995,1424281501
Dronivka,1420900000,38.041,48.919,1420982301
Yevhenivka,1421200000,37.084,47.67,1421281201
Yehorivka,1421500000,37.222,47.706,1421581601
Shabelkivka,1412900000,37.494,48.752,1412947100
Shevchenko,1413200000,37.144,48.22,1413245400
Zuhres,1415000000,38.265,48.012,1415070500
Hryshyne,1422700000,37.079,48.328,1422781101
Katerynivka,1423300000,37.345,47.875,1423383501
Biloiarivka,1420600000,38.602,47.795,1420681501
Vysokopillia,1420300000,37.074,48.769,1420382201
Novopetrykivka,1421200000,36.938,47.626,1421283601
Staromlynivka,1421200000,36.825,47.694,1421285201
Starchenkove,1421700000,36.988,47.271,1421786601
Velyka Shyshivka,1425200000,38.514,47.975,1425280501
