NAME_OBL,NAME_RAY,NAME_LAT,KOATUU_OBL,KOATUU_RAY,KOATUU,longitude,latitude
Donetska,Volnovaskyi,Petrivske,1400000000,1421500000,1421586001,37.164,47.662
Donetska,Marinskyi,Uspenivka,1400000000,1423300000,1423388501,37.230,47.917
Donetska,Amvrosiivskyi,Uspenka,1400000000,1420600000,1420688201,38.703,47.730
Donetska,Telmanivskyi,Lukove,1400000000,1424800000,1424882901,37.930,47.352
Donetska,Kostiantynivskyi,Tarasivka,1400000000,1422400000,1422485801,37.553,48.349
Donetska,Kostiantynivskyi,Poltavka,1400000000,1422400000,1422485001,37.476,48.431
Donetska,Volodarskyi,Topolyne,1400000000,1421700000,1421787001,37.389,47.237
Donetska,Starobeshivskyi,Oleksandrivka,1400000000,1424500000,1424580501,38.051,47.796
Donetska,Amvrosiivskyi,Oleksiivske,1400000000,1420600000,1420680401,38.750,47.818
Donetska,Shakhtarskyi,Sadove,1400000000,1425200000,1425287801,38.393,48.030
Donetska,Marinskyi,Oleksandrivka,1400000000,1423300000,1423355300,37.578,47.921
Donetska,Artemivskyi,Riznykivka,1400000000,1420900000,1420988401,37.973,48.838
Donetska,Starobeshivskyi,Komsomolske,1400000000,1424500000,1424510400,38.073,47.663
Donetska,Marinskyi,Halytsynivka,1400000000,1423300000,1423381101,37.449,48.102
Donetska,Krasnolymanskyi,Terny,1400000000,1423000000,1423085401,37.966,49.097
Donetska,Kostiantynivskyi,Torske,1400000000,1422400000,1422486001,37.421,48.548
Donetska,Krasnoarmiiskyi,Lysivka,1400000000,1422700000,1422782801,37.260,48.221
Donetska,Telmanivskyi,Pervomaiske,1400000000,1424800000,1424885901,38.118,47.426
Donetska,Yasynuvatskyi,Pervomaiske,1400000000,1425500000,1425585401,37.592,48.097
Donetska,Artemivskyi,Rozdolivka,1400000000,1420900000,1420988001,38.080,48.754
Donetska,Slovianskyi,Prelesne,1400000000,1424200000,1424285701,37.291,48.833
Donetska,Starobeshivskyi,Rozdolne,1400000000,1424500000,1424586801,38.025,47.614
Donetska,Novoazovskyi,Rozy Liuksemburh,1400000000,1423600000,1423686001,38.115,47.205
Donetska,Starobeshivskyi,Novokaterynivka,1400000000,1424500000,1424584601,38.115,47.725
Donetska,Krasnoarmiiskyi,Novoekonomichne,1400000000,1422700000,1422755600,37.326,48.328
Donetska,Volnovaskyi,Rybynske,1400000000,1421500000,1421587201,37.582,47.579
Donetska,Krasnoarmiiskyi,Rivne,1400000000,1422700000,1422785701,37.220,48.299
Donetska,Volnovaskyi,Rivnopil,1400000000,1421500000,1421586801,37.234,47.555
Donetska,Krasnolymanskyi,Ridkodub,1400000000,1423000000,1423083201,37.800,49.186
Donetska,Marinskyi,Dachne,1400000000,1423300000,1423381501,37.181,47.992
Donetska,Volodarskyi,Kasianivka,1400000000,1421700000,1421783301,37.532,47.297
Donetska,Kostiantynivskyi,Katerynivka,1400000000,1422400000,1422483001,37.755,48.418
Donetska,Slovianskyi,Bylbasivka,1400000000,1424200000,1424255600,37.500,48.840
Donetska,Kramatorska,Bilenke,1400000000,1412900000,1412945600,37.621,48.761
Donetska,Novoazovskyi,Khomutove,1400000000,1423600000,1423687701,38.137,47.250
Donetska,Artemivskyi,Kalinina,1400000000,1420900000,1420983901,37.847,48.608
Donetska,Dobropilska,Bilozerske,1400000000,1411500000,1411570500,37.057,48.533
Donetska,Volodarskyi,Kalchyk,1400000000,1421700000,1421782201,37.599,47.307
Donetska,Kostiantynivskyi,Mykolaivka,1400000000,1422400000,1422484001,37.796,48.576
Donetska,Oleksandrivskyi,Stepanivka,1400000000,1420300000,1420387501,37.015,48.615
Donetska,Volnovaskyi,Krasnivka,1400000000,1421500000,1421583201,37.442,47.406
Donetska,Novoazovskyi,Krasnoarmiiske,1400000000,1423600000,1423683301,37.926,47.234
Donetska,Yasynuvatskyi,Krasnohorivka,1400000000,1425500000,1425582101,37.728,48.209
Donetska,Kostiantynivskyi,Ivanopillia,1400000000,1422400000,1422482501,37.768,48.468
Donetska,Snizhnianska,Snizhne,1400000000,1414400000,1414400000,38.718,48.005
Luhanska,Stakhanovska,Almazna,4400000000,4413100000,4413170200,38.582,48.523
Luhanska,Rovenkivska,Yasenivskyi,4400000000,4412300000,4412347700,39.217,48.157
Donetska,Mariupolska,Talakivka,1400000000,1412300000,1412365800,37.723,47.185
Donetska,Dymytrivska,Dymytrov,1400000000,1411300000,1411300000,37.283,48.269
Luhanska,Sverdlovskyi,Provallia,4400000000,4424200000,4424287701,39.826,48.148
Luhanska,Troitskyi,Arapivka,4400000000,4425400000,4425480501,38.040,49.735
Donetska,Donetska,Donetsk,1400000000,1410100000,1410100000,37.763,48.009
Donetska,Debaltsevcka,Svitlodarsk,1400000000,1410900000,1410970500,38.221,48.434
Donetska,Debaltsevcka,Myronivskyi,1400000000,1410900000,1410945400,38.275,48.459
Luhanska,Slovianoserbskyi,Zhovte,4400000000,4424500000,4424582201,39.105,48.649
Donetska,Krasnoarmiiskyi,Hrodivka,1400000000,1422700000,1422755300,37.379,48.260
Donetska,Donetska,Laryne,1400000000,1410100000,1410167600,37.928,47.888
Donetska,Khartsyzka,Zuivka,1400000000,1415000000,1415046200,38.249,48.061
Donetska,Krasnolymanskyi,Novoselivka,1400000000,1423000000,1423056000,37.692,49.072
Donetska,Volnovaskyi,Novotroitske,1400000000,1421500000,1421556800,37.596,47.718
Donetska,Oleksandrivskyi,Oleksandrivka,1400000000,1420300000,1420355100,36.914,48.710
Donetska,Slovianskyi,Cherkaske,1400000000,1424200000,1424256500,37.380,48.836
Donetska,Artemivska,Chasiv Yar,1400000000,1410300000,1410370600,37.852,48.593
Donetska,Shakhtarska,Stizhkivske,1400000000,1415300000,1415346400,38.466,48.119
